ID,KGW,Yield,Tiller,Grain,Binary,Poisson,Event,Trial,Ordinal,Nominal
1,26.8965,47.5075,13.8915,128.6555,1,3,3,6,3,2
2,24.0445,42.6645,15.0865,117.389,0,1,2,3,1,2
3,26.7285,43.9105,13.645,124.576,1,1,4,6,3,3
4,25.36593089,39.76309146,14.55098374,108.5811179,1,4,4,5,2,4
5,24.4485,37.387,18.2805,83.047,0,1,2,4,2,3
6,27.1625,47.797,16.3855,109.3395,1,6,4,4,3,1
7,26.134,39.957,13.9555,112.657,1,1,2,3,3,3
8,26.918,40.9295,14.2035,112.754,1,4,2,4,3,1
9,24.6845,51.08,14.915,141.2005,0,3,1,4,2,2
10,25.39,44.1905,14.665,123.7625,1,0,7,10,2,2
11,26.0515,48.391,15.3195,121.6945,1,3,0,1,3,1
12,23.932,48.1945,14.9885,131.114,0,6,1,4,1,1
13,23.826,36.5815,14.496,107.4505,0,1,2,3,1,3
14,26.334,48.26,16.0165,115.4685,1,1,4,7,3,1
15,23.2335,42.688,16.4585,114.6995,0,2,0,3,1,1
16,26.4045,51.3675,15.5985,124.3055,1,4,3,6,3,3
17,22.5855,52.5635,19.5345,118.9705,0,0,0,8,1,3
18,21.141,45.728,17.861,120.7075,0,1,0,5,1,3
19,26.71243089,45.06659146,15.56098374,110.9361179,1,2,4,5,3,1
20,23.55043089,42.09009146,16.19548374,111.5886179,0,1,2,5,1,3
21,26.3185,53.9015,17.306,116.757,1,5,5,7,3,2
22,24.04243089,37.20559146,15.71298374,98.66211789,0,2,1,2,1,3
23,25.337,50.331,13.3755,149.325,1,5,2,6,2,2
24,23.6695,40.719,16.5605,109.0825,0,2,2,6,1,3
25,24.837,50.104,14.937,133.01,0,3,3,5,2,4
26,25.0855,46.254,16.5535,113.6245,1,3,3,6,2,2
27,26.482,46.227,13.998,127.907,1,5,3,5,3,2
28,22.697,43.78,15.325,125.858,0,1,0,7,1,4
29,24.6535,42.6055,16.1665,109.012,0,3,2,5,2,3
30,23.294,42.194,17.024,108.246,0,5,1,7,1,3
31,27.307,41.8915,15.133,104.3,1,2,3,5,3,4
32,24.7085,51.972,18.0165,120.275,0,2,2,2,2,2
33,26.7825,47.6525,16.386,107.5645,1,5,6,7,3,2
34,23.249,31.802,16.94,82.473,0,1,1,3,1,1
35,27.668,46.429,14.4965,116.214,1,4,4,7,3,1
36,27.85,48.8645,16.865,105.8345,1,4,2,2,3,2
37,23.8885,37.4775,16.235,98.117,0,1,2,3,1,1
38,24.425,46.4315,12.4345,155.3345,0,3,2,5,2,4
39,24.65,43.676,14.142,126.674,0,2,3,4,2,4
40,26.7165,35.2595,13.48,97.632,1,3,4,4,3,1
41,23.8225,35.5635,20.55,74.781,0,2,3,6,1,3
42,24.522,46.241,14.492,132.302,0,1,4,4,2,4
43,23.977,46.5925,14.12,137.146,0,2,3,8,1,4
44,24.8595,50.8255,15.102,137.2395,0,3,3,4,2,2
45,24.5985,49.163,16.37,122.186,0,2,2,9,2,2
46,23.3295,28.0845,15.4425,78.381,0,2,0,2,1,2
47,25.962,51.043,14.301,137.0545,1,5,2,5,3,4
48,27.395,47.599,14.205,126.542,1,5,5,6,3,4
49,25.8015,45.864,14.3335,124.1595,1,4,3,6,2,3
50,21.505,35.833,15.6945,109.084,0,0,0,4,1,3
51,24.635,45.0265,15.444,119.839,0,0,2,7,2,2
52,27.3845,41.32,12.409,124.4045,1,4,5,6,3,1
53,25.721,35.263,16.113,87.6145,1,4,2,10,2,1
54,25.5835,47.3665,13.783,137.7265,1,0,3,6,2,4
55,24.487,45.732,16.5255,115.721,0,4,3,5,2,1
56,25.16943089,44.12209146,14.34748374,127.7781179,1,0,2,6,2,4
57,28.712,41.6345,13.2605,109.7695,1,7,5,5,3,1
58,24.80043089,46.28509146,15.78898374,121.1911179,0,2,2,4,2,3
59,22.911,40.273,17.06,106.296,0,1,2,4,1,3
60,21.998,50.45,16.004,144.5505,0,0,2,5,1,3
61,24.5635,42.2115,13.5395,128.3845,0,3,3,3,2,2
62,24.535,38.824,16.035,100.0395,0,4,2,4,2,3
63,24.9665,45.129,16.3355,111.999,0,2,2,3,2,2
64,28.3435,52.991,16.401,115.7415,1,3,8,8,3,2
65,26.6105,47.2495,15.597,117.6675,1,4,6,10,3,1
66,27.3805,52.057,14.3455,135.5365,1,3,1,3,3,2
67,22.6035,48.5985,16.0005,134.674,0,0,1,3,1,4
68,25.1555,41.092,14.2885,116.329,1,5,4,8,2,4
69,27.381,43.2105,16.1565,101.16,1,6,5,5,3,1
70,24.533,47.0025,17.165,114.357,0,3,1,6,2,3
71,25.9365,38.508,16.697,89.634,1,1,1,1,3,3
72,24.6815,40.307,14.4975,115.907,0,1,1,4,2,3
73,24.8375,33.6375,14.8065,91.978,0,3,2,4,2,1
74,22.155,36.0975,14.861,110.8255,0,0,0,2,1,4
75,23.2975,42.9675,13.8225,132.4905,0,1,2,5,1,4
76,23.018,33.4295,15.4895,94.492,0,1,2,6,1,4
77,21.949,41.6455,14.734,130.258,0,1,0,5,1,4
78,24,47.931,17.1655,116.172,0,3,3,5,1,3
79,24.783,34.351,13.7855,100.5905,0,1,4,9,2,1
80,26.9645,50.792,15.545,122.0175,1,5,3,5,3,4
81,22.9585,35.168,17.3725,87.8265,0,1,1,4,1,3
82,22.19,40.867,19.321,101.113,0,0,0,6,1,3
83,23.846,50.482,14.98,144.1745,0,6,4,7,1,4
84,25.5865,49.474,15.813,123.4635,1,8,1,4,2,3
85,26.975,38.2965,15.948,90.556,1,5,5,6,3,2
86,28.8295,44.9225,15.3445,102.935,1,11,2,3,3,1
87,27.6275,33.572,14.355,81.995,1,4,4,5,3,1
88,23.637,48.5735,17.1885,118.758,0,2,2,5,1,2
89,23.893,39.242,15.744,104.9885,0,3,1,5,1,4
90,24.8825,42.521,16.196,108.464,0,2,2,7,2,3
91,28.1685,46.607,16.392,106.2475,1,8,6,6,3,3
92,26.7925,42.6865,15.1845,106.8355,1,5,2,4,3,1
93,24.743,39.767,16.452,99.276,0,2,4,8,2,3
94,25.204,43.562,12.143,142.8825,1,6,1,4,2,4
95,25.0895,49.544,15.234,131.6735,1,5,2,4,2,4
96,22.9125,38.6785,17.1655,103.64,0,1,0,5,1,3
97,21.55,44.228,12.4715,165.67,0,1,1,6,1,4
98,26.0495,45.9775,15.2135,116.4125,1,2,2,5,3,2
99,24.9855,28.061,13.8225,82.948,0,2,3,4,2,1
100,24.717,42.6465,16.1575,108.946,0,2,1,3,2,3
101,24.98893089,42.02259146,15.15498374,113.7936179,0,1,5,5,2,2
102,26.784,34.809,14.325,93.331,1,4,1,2,3,1
103,22.533,33.234,16.9325,87.6035,0,2,3,11,1,3
104,25.812,35.578,15.063,91.234,1,3,7,8,2,1
105,25.6935,55.5675,16.719,135.4965,1,2,5,7,2,2
106,25.8205,41.458,15.149,111.714,1,1,2,3,2,1
107,23.411,42.293,16.5815,111.6365,0,2,1,5,1,3
108,25.867,44.6285,14.975,119.738,1,3,2,4,2,2
109,26.224,41.3105,14.738,108.218,1,0,1,4,3,1
110,24.002,43.9465,16.9275,106.7075,0,2,3,4,1,2
111,25.874,47.78,14.5625,128.1485,1,4,2,4,3,4
112,27.663,48.6615,12.0035,144.6135,1,6,5,5,3,4
113,25.6455,50.5995,14.034,142.3945,1,3,5,6,2,3
114,24.9665,45.8105,15.392,118.674,0,2,3,5,2,2
115,29.548,43.8005,13.178,113.2675,1,9,6,6,3,1
116,26.263,43.125,16.2605,105.01,1,3,6,6,3,1
117,25.1605,45.5705,15.581,120.108,1,3,0,4,2,3
118,25.007,48.3045,19.8635,95.1025,1,2,2,5,2,3
119,25.415,47.8665,15.7565,121.3355,1,3,1,2,2,3
120,23.927,47.315,14.984,131.532,0,2,1,2,1,2
121,25.824,55.9455,17.116,129.536,1,1,2,3,2,4
122,28.047,45.945,13.5725,122.2355,1,9,5,5,3,1
123,27.39743089,43.10009146,14.10998374,116.0946179,1,5,4,9,3,1
124,22.572,54.252,19.3145,125.03,0,0,4,8,1,4
125,26.1305,44.1555,14.53,116.235,1,3,6,6,3,4
126,24.11143089,38.86259146,14.61648374,112.0296179,0,3,0,6,1,1
127,23.8495,44.5135,15.323,122.5525,0,2,2,6,1,2
128,24.7755,36.8735,13.894,108.983,0,3,0,4,2,4
129,22.487,47.9765,15.5555,139.4135,0,0,1,4,1,4
130,23.8415,38.732,17.976,92.2165,0,0,1,5,1,3
131,24.2055,36.3,14.981,100.085,0,1,1,3,1,3
132,26.1435,44.5495,13.683,125.1985,1,2,0,4,3,1
133,27.485,44.7275,12.5345,130.149,1,7,4,6,3,1
134,23.302,36.7575,15.043,109.646,0,3,3,8,1,2
135,24.243,29.989,14.9795,84.4465,0,0,1,3,1,3
136,24.77243089,44.03209146,15.48698374,114.9836179,0,2,3,6,2,4
137,22.668,51.4595,15.367,151.1535,0,2,2,5,1,4
138,26.044,44.9145,17.2415,106.294,1,3,3,3,3,3
139,24.455,47.9045,17.803,112.051,0,4,4,5,2,1
140,26.755,47.722,15.389,115.9975,1,6,4,5,3,2
141,24.7205,50.9255,14.319,145.4345,0,3,1,5,2,2
142,24.682,40.001,16.0155,108.9315,0,1,1,4,2,3
143,27.4835,45.296,14.5,118.3465,1,6,8,8,3,3
144,27.293,51.9495,14.019,136.001,1,4,3,3,3,1
145,24.6115,42.818,15.3385,116.69,0,4,4,4,2,2
146,27.3795,39.443,14.641,99.501,1,5,5,6,3,1
147,24.6115,42.6705,13.944,123.3065,0,4,3,5,2,1
148,23.724,46.9895,16.4405,123.2215,0,3,0,2,1,4
149,23.988,47.86,12.8785,153.7895,0,3,1,2,1,4
150,25.653,51.618,14.5815,139.4355,1,2,4,5,2,2
151,23.039,36.827,14.7385,112.1875,0,3,1,6,1,2
152,25.95893089,41.40909146,16.81798374,97.31761789,1,0,3,5,3,1
153,25.1585,49.57,15.0255,129.2135,1,5,0,3,2,4
154,24.4365,20.634,15.731,59.4175,0,1,3,8,2,3
155,25.404,48.281,16.314,120.4005,1,3,2,4,2,4
156,25.2425,43.7065,16.2425,113.4065,1,4,0,2,2,4
157,28.307,49.3915,16.4275,108.8615,1,6,8,8,3,1
158,24.233,47.246,17.6615,115.045,0,2,2,5,1,3
159,25.371,42.222,15.333,112.3245,1,7,5,6,2,1
160,24.139,38.9,14.9675,108.523,0,5,2,3,1,1
161,25.3475,34.119,16.572,84.4005,1,1,0,2,2,3
162,27.2395,53.669,16.408,120.967,1,3,2,5,3,2
163,25.8945,37.7745,14.2125,103.28,1,2,1,3,3,3
164,24.051,42.878,13.31,133.0435,0,2,3,3,1,4
165,24.213,37.1665,15.313,100.8435,0,4,0,8,1,2
166,22.307,39.5825,15.087,121.3705,0,1,0,1,1,3
167,26.105,51.4955,13.186,151.842,1,4,4,9,3,4
168,24.822,44.7305,14.0525,129.5855,0,6,3,6,2,2
169,29.213,41.7785,15.7945,93.405,1,4,6,6,3,2
170,24.6055,36.845,11.8,129.7185,0,5,3,7,2,4
171,23.293,40.1,17.25,100.347,0,2,2,6,1,4
172,23.3105,33.3145,16.4445,86.3585,0,3,0,6,1,4
173,27.38,46.939,15.0495,119.2475,1,7,2,2,3,2
174,23.1245,49.469,17.9605,121.0985,0,2,4,7,1,4
175,23.723,36.1755,16.2155,96.85,0,1,3,6,1,3
176,26.22543089,40.26409146,14.86998374,103.5771179,1,4,3,4,3,1
177,25.09843089,40.09809146,13.50448374,126.8536179,1,2,1,2,2,4
178,24.61,44.682,15.8075,114.0865,0,4,3,6,2,3
179,26.315,45.6485,13.5835,127.2485,1,1,7,8,3,4
180,22.9645,42.896,18.026,103.275,0,3,1,7,1,3
181,25.3315,40.487,17.942,89.91,1,2,3,8,2,3
182,23.8445,38.655,14.834,107.1115,0,2,1,5,1,3
183,26.1905,51.7225,15.131,132.115,1,5,4,5,3,4
184,24.966,41.2535,14.8845,114.7115,0,2,6,8,2,1
185,29.096,37.3345,13.6405,95.5235,1,6,7,7,3,1
186,25.6915,28.658,14.3565,80.0655,1,4,2,3,2,4
187,23.946,44.1755,14.963,123.6005,0,3,4,5,1,1
188,22.314,37.8765,19.771,90.7655,0,1,0,1,1,3
189,27.0445,43.464,14.9635,113.2445,1,3,6,6,3,2
190,25.06298343,43.57668204,15.45794207,115.4973552,1,1,3,5,2,2
191,25.9465,43.8485,14.368,116.885,1,2,2,5,3,4
192,26.868,54.2275,18.3755,114.663,1,3,6,9,3,1
193,24.71743089,44.59359146,15.90998374,117.2396179,0,3,2,3,2,3
194,24.1105,40.431,17.3415,97.8925,0,7,4,5,1,1
195,26.8755,48.8075,18.649,100.9445,1,3,3,6,3,3
196,24.248,47.0615,14.9505,132.5445,0,3,1,9,2,2
197,22.089,38.307,15.963,109.5295,0,0,2,7,1,3
198,22.7,55.366,18.2705,132.1355,0,1,0,7,1,2
199,21.92,53.131,16.0565,152.619,0,0,2,4,1,4
200,24.0355,37.095,17.553,90.1225,0,0,1,3,1,4
201,26.407,46.6485,13.562,130.965,1,5,5,7,3,4
202,28.132,43.103,16.2275,95.24,1,8,2,3,3,1
203,23.4065,44.428,16.4505,117.5085,0,2,3,11,1,3
204,29.2325,52.3655,13.0655,139.543,1,6,9,9,3,4
205,23.4265,33.925,15.4495,94.509,0,0,2,7,1,4
206,22.678,45.5495,15.1745,133.283,0,1,2,9,1,4
207,24.742,49.062,21.5345,94.2065,0,2,1,5,2,3
208,22.95393089,36.38809146,15.49248374,102.4046179,0,2,2,8,1,1
209,23.9805,38.184,16.026,106.5045,0,4,3,7,1,3
210,22.8715,47.275,18.2655,115.342,0,2,1,4,1,3
211,28.34,50.712,15.628,112.5205,1,2,7,7,3,2
212,21.47,35.7715,15.1435,111.2565,0,0,1,4,1,4
213,26.7245,57.1225,14.32,148.16,1,4,1,2,3,2
214,25.89943089,44.64609146,16.09998374,109.2991179,1,0,2,5,3,3
215,23.4075,40.811,16.002,113.289,0,2,5,11,1,3
